"1","Black","C48323","000000"
"2","Blue","C48333","0000FF"
"3","Brown","C48332","964B00"
"4","Gray","C48324","808080"
"5","Green","C48329","008000"
"6","Orange","C48331","FFA500"
"7","Pink","C48328","FFC0CB"
"8","Purple","C48327","800080"
"9","Red","C48326","FF0000"
"10","Turquoise","C48334","30D5C8"
"11","White","C48325","FFFFFF"
"12","Yellow","C48330","FFFF00"
